build,benchmark,run,wall_s,peak_rss_time_l,peak_rss_vm,gc_minor,gc_major,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
master,fannkuchredux,13,37.411044,5570560,5521408,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,13,37.203299,5242880,,,,,,,,0
master,fannkuchredux,14,37.276321,5586944,5537792,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,14,37.197384,5275648,,,,,,,,0
master,fannkuchredux,15,37.261359,5537792,5488640,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,15,37.300772,5226496,,,,,,,,0
master,fasta,1,11.502819,5996544,5947392,0,0,0,0,0,0,0
v2026.9.4,fasta,1,11.536844,5668864,,,,,,,,0
master,fasta,2,11.492175,5963776,5914624,0,0,0,0,0,0,0
v2026.9.4,fasta,2,11.398794,5668864,,,,,,,,0
master,fasta,3,11.446011,5996544,5947392,0,0,0,0,0,0,0
v2026.9.4,fasta,3,11.477402,5652480,,,,,,,,0
master,fasta,4,11.460231,5963776,5914624,0,0,0,0,0,0,0
v2026.9.4,fasta,4,11.475431,5636096,,,,,,,,0
master,fasta,5,11.446135,5980160,5931008,0,0,0,0,0,0,0
v2026.9.4,fasta,5,11.387656,5685248,,,,,,,,0
master,fasta,6,11.464049,6029312,5980160,0,0,0,0,0,0,0
v2026.9.4,fasta,6,11.496337,5718016,,,,,,,,0
master,fasta,7,11.644928,5947392,5898240,0,0,0,0,0,0,0
v2026.9.4,fasta,7,11.489944,5636096,,,,,,,,0
master,fasta,8,11.493872,6012928,5963776,0,0,0,0,0,0,0
v2026.9.4,fasta,8,11.437908,5636096,,,,,,,,0
master,fasta,9,11.557444,5898240,5849088,0,0,0,0,0,0,0
v2026.9.4,fasta,9,11.513670,5652480,,,,,,,,0
master,fasta,10,11.487005,5947392,5898240,0,0,0,0,0,0,0
v2026.9.4,fasta,10,11.435382,5652480,,,,,,,,0
master,fasta,11,11.454128,6029312,5980160,0,0,0,0,0,0,0
v2026.9.4,fasta,11,11.497670,5636096,,,,,,,,0
master,fasta,12,11.561864,5947392,5898240,0,0,0,0,0,0,0
v2026.9.4,fasta,12,11.474211,5603328,,,,,,,,0
master,fasta,13,11.448227,5947392,5898240,0,0,0,0,0,0,0
v2026.9.4,fasta,13,11.467240,5668864,,,,,,,,0
master,fasta,14,11.458382,5931008,5881856,0,0,0,0,0,0,0
v2026.9.4,fasta,14,11.510099,5619712,,,,,,,,0
master,fasta,15,11.484574,5947392,5898240,0,0,0,0,0,0,0
v2026.9.4,fasta,15,11.462738,5668864,,,,,,,,0
master,mandelbrot,1,2.201962,8110080,8060928,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,1,2.217380,7634944,,,,,,,,0
master,mandelbrot,2,2.240219,8110080,8060928,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,2,2.201697,7798784,,,,,,,,0
master,mandelbrot,3,2.298244,8093696,8060928,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,3,2.222064,7782400,,,,,,,,0
master,mandelbrot,4,2.209744,8126464,8077312,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,4,2.198474,7716864,,,,,,,,0
master,mandelbrot,5,2.188680,8126464,8077312,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,5,2.218485,7684096,,,,,,,,0
master,mandelbrot,6,2.214145,8077312,8028160,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,6,2.205042,7716864,,,,,,,,0
master,mandelbrot,7,2.213668,8142848,8093696,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,7,2.225052,7815168,,,,,,,,0
master,mandelbrot,8,2.210077,8192000,8142848,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,8,2.227207,7733248,,,,,,,,0
master,mandelbrot,9,2.212194,8060928,8044544,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,9,2.219286,7782400,,,,,,,,0
master,mandelbrot,10,2.198602,8060928,8044544,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,10,2.208598,7684096,,,,,,,,0
master,mandelbrot,11,2.199004,8044544,7995392,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,11,2.224783,7749632,,,,,,,,0
master,mandelbrot,12,2.265873,8093696,8044544,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,12,2.211557,7766016,,,,,,,,0
master,mandelbrot,13,2.241946,8175616,8126464,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,13,2.214505,7847936,,,,,,,,0
master,mandelbrot,14,2.199368,8126464,8077312,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,14,2.209700,7798784,,,,,,,,0
master,mandelbrot,15,2.218571,8093696,8044544,0,0,0,0,0,0,0
v2026.9.4,mandelbrot,15,2.220725,7798784,,,,,,,,0
master,bench_loop_invariant,1,0.014091,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,1,0.013867,5111808,,,,,,,,0
master,bench_loop_invariant,2,0.013899,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,2,0.013867,5079040,,,,,,,,0
master,bench_loop_invariant,3,0.014163,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,3,0.013731,5128192,,,,,,,,0
master,bench_loop_invariant,4,0.014439,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,4,0.014043,5062656,,,,,,,,0
master,bench_loop_invariant,5,0.013832,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,5,0.013761,5111808,,,,,,,,0
master,bench_loop_invariant,6,0.013792,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,6,0.013778,5046272,,,,,,,,0
master,bench_loop_invariant,7,0.013855,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,7,0.013892,5111808,,,,,,,,0
master,bench_loop_invariant,8,0.013918,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,8,0.013809,5062656,,,,,,,,0
master,bench_loop_invariant,9,0.013786,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,9,0.013679,5095424,,,,,,,,0
master,bench_loop_invariant,10,0.013724,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,10,0.013905,5062656,,,,,,,,0
master,bench_loop_invariant,11,0.013916,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,11,0.013870,5046272,,,,,,,,0
master,bench_loop_invariant,12,0.013731,5472256,5423104,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,12,0.013628,5095424,,,,,,,,0
master,bench_loop_invariant,13,0.013675,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,13,0.013591,5029888,,,,,,,,0
master,bench_loop_invariant,14,0.013693,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,14,0.013747,5013504,,,,,,,,0
master,bench_loop_invariant,15,0.013864,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_loop_invariant,15,0.013636,5111808,,,,,,,,0
master,bench_cse,1,0.015929,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_cse,1,0.017512,5062656,,,,,,,,0
master,bench_cse,2,0.017626,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_cse,2,0.017455,5062656,,,,,,,,0
master,bench_cse,3,0.016701,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_cse,3,0.017442,5062656,,,,,,,,0
master,bench_cse,4,0.017139,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_cse,4,0.017530,5079040,,,,,,,,0
master,bench_cse,5,0.017619,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_cse,5,0.017693,5013504,,,,,,,,0
master,bench_cse,6,0.017582,5390336,5341184,0,0,0,0,0,0,0
v2026.9.4,bench_cse,6,0.017559,5095424,,,,,,,,0
master,bench_cse,7,0.017587,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_cse,7,0.017569,5111808,,,,,,,,0
master,bench_cse,8,0.017577,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_cse,8,0.017520,5095424,,,,,,,,0
master,bench_cse,9,0.016503,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_cse,9,0.016861,5111808,,,,,,,,0
master,bench_cse,10,0.017994,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_cse,10,0.017692,5062656,,,,,,,,0
master,bench_cse,11,0.017579,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_cse,11,0.017407,5111808,,,,,,,,0
master,bench_cse,12,0.017652,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_cse,12,0.017447,5128192,,,,,,,,0
master,bench_cse,13,0.017656,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_cse,13,0.013611,5013504,,,,,,,,0
master,bench_cse,14,0.017709,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_cse,14,0.013559,5111808,,,,,,,,0
master,bench_cse,15,0.017369,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_cse,15,0.017440,5111808,,,,,,,,0
master,bench_strength_ext,1,0.049136,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,1,0.048430,5046272,,,,,,,,0
master,bench_strength_ext,2,0.048466,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,2,0.048880,5046272,,,,,,,,0
master,bench_strength_ext,3,0.049411,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,3,0.048930,5079040,,,,,,,,0
master,bench_strength_ext,4,0.049150,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,4,0.048945,5111808,,,,,,,,0
master,bench_strength_ext,5,0.049301,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,5,0.048677,5095424,,,,,,,,0
master,bench_strength_ext,6,0.048913,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,6,0.049839,5029888,,,,,,,,0
master,bench_strength_ext,7,0.049266,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,7,0.048640,5046272,,,,,,,,0
master,bench_strength_ext,8,0.049073,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,8,0.048443,5095424,,,,,,,,0
master,bench_strength_ext,9,0.048866,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,9,0.049206,5029888,,,,,,,,0
master,bench_strength_ext,10,0.049231,5390336,5341184,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,10,0.048812,5079040,,,,,,,,0
master,bench_strength_ext,11,0.049600,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,11,0.048654,5046272,,,,,,,,0
master,bench_strength_ext,12,0.048576,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,12,0.048618,5095424,,,,,,,,0
master,bench_strength_ext,13,0.048464,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,13,0.048596,5095424,,,,,,,,0
master,bench_strength_ext,14,0.048830,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,14,0.048517,5013504,,,,,,,,0
master,bench_strength_ext,15,0.049114,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_strength_ext,15,0.048710,5079040,,,,,,,,0
master,bench_gc_churn,1,0.169300,139706368,139706368,3,0,288,4975,4975,5001,0
v2026.9.4,bench_gc_churn,1,0.172981,139345920,,,,,,,,0
master,bench_gc_churn,2,0.169759,139689984,139689984,3,0,288,4926,4926,4951,0
v2026.9.4,bench_gc_churn,2,0.171300,139296768,,,,,,,,0
master,bench_gc_churn,3,0.169543,139657216,139657216,3,0,288,4961,4961,5102,0
v2026.9.4,bench_gc_churn,3,0.172825,139378688,,,,,,,,0
master,bench_gc_churn,4,0.169852,139722752,139722752,3,0,288,4923,4923,4981,0
v2026.9.4,bench_gc_churn,4,0.172931,139362304,,,,,,,,0
master,bench_gc_churn,5,0.169618,139673600,139673600,3,0,288,4980,4980,4989,0
v2026.9.4,bench_gc_churn,5,0.172080,139395072,,,,,,,,0
master,bench_gc_churn,6,0.170174,139673600,139673600,3,0,288,4903,4903,4905,0
v2026.9.4,bench_gc_churn,6,0.173416,139313152,,,,,,,,0
master,bench_gc_churn,7,0.169210,139657216,139657216,3,0,288,4988,4988,5033,0
v2026.9.4,bench_gc_churn,7,0.179144,139296768,,,,,,,,0
master,bench_gc_churn,8,0.177100,139689984,139689984,3,0,288,5000,5000,6227,0
v2026.9.4,bench_gc_churn,8,0.176759,139329536,,,,,,,,0
master,bench_gc_churn,9,0.171029,139624448,139624448,3,0,288,5009,5009,5978,0
v2026.9.4,bench_gc_churn,9,0.177177,139264000,,,,,,,,0
master,bench_gc_churn,10,0.171228,139657216,139657216,3,0,288,4983,4983,6007,0
v2026.9.4,bench_gc_churn,10,0.173877,139345920,,,,,,,,0
